date,Unnamed: 0,jalore,churu,barmer,jaisalmer,ajmer,ganganagar,sikar,bikaner
1903-04-21,4210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-04-26,4235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-05-01,4260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-05-06,4285,9.503,0.0,7.313700000000001,0.6773,0.0,0.0,0.0,0.799
1903-05-11,4310,0.0,4.0335,0.0,0.0,2.2384,0.7705,6.6211,0.0
1903-05-16,4335,0.2794,8.201699999999999,0.0,0.0,1.5485,2.2454,5.5654,0.0
1903-05-21,4360,1.0386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-05-26,4385,0.0,1.6249,1.9304,0.0,0.549,0.0,3.8099,0.0
1903-05-31,4410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-06-05,4435,0.0,9.6032,0.0,0.0,0.428,0.0,5.5707,0.0
1903-06-10,4460,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
1903-06-15,4485,0.0,0.0,0.0,0.0,1.8791,0.0,0.0,0.0
1903-06-20,4510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-06-25,4535,0.1158,12.2252,0.0,0.0,9.2032,5.4666,16.8618,0.0
1903-06-30,4560,0.0,0.0,0.0,0.0,8.6192,5.8272,0.1989,10.1868
1903-07-05,4585,1.6807,0.0,0.0,0.0,0.0,8.229899999999999,0.4387,0.0
1903-07-10,4610,4.0876,15.9699,37.7009,10.3363,23.8941,0.9805,58.183099999999996,8.3908
1903-07-15,4635,25.5734,42.7385,17.473799999999997,27.1495,62.7057,69.3842,96.2697,66.3483
1903-07-20,4660,113.5522,77.9257,47.7071,23.8461,91.5468,18.7033,73.6719,37.6541
1903-07-25,4685,37.724900000000005,12.9902,4.2145,0.2839,13.798699999999998,13.07,20.038600000000002,2.3096
1903-07-30,4710,44.3103,12.1134,16.45,30.6496,43.452799999999996,9.4977,19.52,9.6875
1903-08-04,4735,64.1917,112.52860000000001,1.5975,0.1419,97.5007,9.4093,113.7409,26.1497
1903-08-09,4760,15.413400000000001,24.6095,0.0,0.0,35.204899999999995,0.442,49.6546,12.6283
1903-08-14,4785,3.3394,1.4807,0.0,0.0,5.6051,1.8284,0.2581,1.4981
1903-08-19,4810,5.9264,6.0668,2.1879,0.0,7.2496,0.0,15.1924,0.0
1903-08-24,4835,0.0,34.5721,0.0,0.0,1.8386,3.1455,6.1147,0.0
1903-08-29,4860,0.0,0.0,0.0,0.0,10.8346,0.0,0.0,0.0
1903-09-03,4885,4.7917,5.8354,0.0,0.0,18.1893,0.0,8.2112,0.0
1903-09-08,4910,26.320700000000002,42.647,14.3906,12.468499999999999,50.3774,2.8569,70.60159999999999,58.3329
1903-09-13,4935,0.0,0.0,10.0912,0.0,0.0,0.0,0.0,0.0
1903-09-18,4960,1.1793,3.5321,3.3361,0.1013,8.4749,0.3383,9.4865,0.0
1903-09-23,4985,6.4737,0.449,0.0,0.0,12.0983,0.0,2.0839,0.0
1903-09-28,5010,0.7298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-10-03,5035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-10-08,5060,0.0,11.0885,0.0,0.0,0.7602,0.0,1.7152,0.0
1903-10-13,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-10-18,5110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-10-23,5135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-10-28,5160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-11-02,5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-11-07,5210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-11-12,5235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-11-17,5260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-11-22,5285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-11-27,5310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-12-02,5335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-12-07,5360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-12-12,5385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-12-17,5410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-12-22,5435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.297
1903-12-27,5460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-01-01,5485,0.0,0.0,0.0,0.0,0.0,0.2915,0.0,0.0
1904-01-06,5510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-01-11,5535,0.0,0.5309,0.0,6.4968,0.0,5.993,0.0,6.3917
1904-01-16,5560,0.0,3.1900000000000004,0.0,1.1006,2.2969,0.0,2.9183999999999997,1.3012
1904-01-21,5585,2.9981,0.0,0.0,0.0,0.8765,0.0,0.0,0.0
1904-01-26,5610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-01-31,5635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-02-05,5660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-02-10,5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-02-15,5710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-02-20,5735,0.5497,0.0,2.1333,0.0,0.0,0.0,0.0,0.0
1904-02-25,5760,0.3803,2.2558,1.9816,1.7117,3.097,0.0,6.6734,0.0
1904-03-01,5785,3.8019000000000003,17.1622,7.1861,3.613,21.0999,7.3767,40.6256,26.6931
1904-03-06,5810,0.5497,1.1525,0.0,7.1578,2.8795,21.037599999999998,0.3699,8.6889
1904-03-11,5835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-03-16,5860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-03-21,5885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-03-26,5910,0.0,0.0,0.0,0.0,0.0,0.7248,0.0,0.0
1904-03-31,5935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-04-05,5960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-04-10,5985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-04-15,6010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-04-20,6035,0.0,0.3512,0.0,0.7781,0.0,0.0,0.4989,0.9987
1904-04-25,6060,0.0,0.1713,0.0,0.0,0.0,0.0,0.0,0.0
1904-04-30,6085,0.0,1.034,0.0,0.0,0.0,0.0,3.3336,0.0
1904-05-05,6110,0.0,2.5726,1.6813,0.1593,7.9948,0.6517,1.2394,0.0
1904-05-10,6135,0.0,3.4578999999999995,0.0,0.0,0.0,0.0,5.1321,0.0
1904-05-15,6160,1.0347,10.4811,8.1799,16.0645,7.8632,10.933800000000002,15.755199999999999,1.3029
1904-05-20,6185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-05-25,6210,0.8835,1.3103,0.3554,0.0,2.9917,0.0,3.9874,0.0
1904-05-30,6235,15.183099999999998,7.5838,0.0,0.0,23.9189,7.0742,9.1134,18.4812
1904-06-04,6260,0.0,0.1036,0.0,0.0,2.154,0.0,1.7559,0.0
1904-06-09,6285,1.5495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-06-14,6310,0.0,0.0,0.0,0.0,0.0,0.1879,0.0,0.799
1904-06-19,6335,28.535,4.9714,0.0,4.6998,29.710900000000002,8.4305,11.7287,0.0
1904-06-24,6360,0.0,1.6584,0.0,0.0,0.0,0.0,0.7176,8.3891
1904-06-29,6385,0.0,1.4807,0.0,0.0,2.2606,1.7812,0.1068,0.0
1904-07-04,6410,68.4821,11.9686,21.9663,1.4499,27.611,0.5176,12.620600000000001,3.7988
1904-07-09,6435,8.856,3.6567,0.0,0.0,38.7575,0.2675,32.685199999999995,7.1128
1904-07-14,6460,0.3981,0.3454,0.0,0.0,0.0,0.0,0.2151,0.0
1904-07-19,6485,1.4872,29.5672,0.0,0.0,9.8854,11.816,6.9047,0.0
1904-07-24,6510,3.8371,7.2822000000000005,0.0,0.0,33.2982,0.0,15.6136,0.0
1904-07-29,6535,20.7527,6.9809,1.0191,0.0,25.6074,2.0071,7.1683,7.4108
1904-08-03,6560,16.982,53.0138,14.5298,0.91,16.278,0.2969,65.9273,1.5107
1904-08-08,6585,8.7144,26.5565,22.0139,1.4499,43.8138,1.7211999999999998,60.596199999999996,0.0
1904-08-13,6610,7.2448999999999995,27.6753,10.209299999999999,2.2089,43.944,2.3057,52.0048,27.4433
1904-08-18,6635,0.0,6.3367,0.0,0.0,0.0,0.0,17.4587,0.0
1904-08-23,6660,0.0,41.2844,0.0,0.0,33.100899999999996,13.430100000000001,72.9119,0.0
1904-08-28,6685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-09-02,6710,1.0612,0.5995,0.0,0.0,0.0,0.0,0.0,0.0
1904-09-07,6735,0.4121,0.1612,0.0,0.0,4.9009,0.877,0.0,0.0
1904-09-12,6760,3.7337,27.555999999999997,7.878299999999999,0.0,14.282499999999999,11.7082,28.0107,68.0145
1904-09-17,6785,0.0,1.7672,0.0,0.0,0.0,0.6353,0.5576,0.0
1904-09-22,6810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-09-27,6835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-10-02,6860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-10-07,6885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-10-12,6910,3.6604,0.0,0.0,0.0,0.0,0.1919,0.0,2.7988
1904-10-17,6935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-10-22,6960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-10-27,6985,0.0,0.4738,0.0,0.0,0.0,0.0,0.0,0.0
1904-11-01,7010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-11-06,7035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-11-11,7060,4.4609000000000005,2.7935999999999996,0.0,5.4182,4.3229,2.7272,13.962,5.2932
1904-11-16,7085,0.0,0.0,0.0,2.6024000000000003,0.0,0.366,0.0,0.0
1904-11-21,7110,0.0,0.1324,0.0,0.0,0.0,1.3540999999999999,0.0,0.0
1904-11-26,7135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-12-01,7160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-12-06,7185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-12-11,7210,0.0,3.6741,0.0,0.0,2.3352,0.9884,8.1604,0.0
1904-12-16,7235,0.0,32.6979,0.0,0.0,17.6538,0.0,30.9271,19.0754
1904-12-21,7260,0.4398,0.0,0.0,0.0,5.2006,0.0,0.0,0.0
1904-12-26,7285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-12-31,7310,0.0,0.5111,0.0,0.0,0.0,7.2542,0.0,0.0
1905-01-05,7335,0.0,0.0,0.0,0.0,0.2112,0.0,0.0,0.0
1905-01-10,7360,0.0,0.0,0.0,0.0,0.0,0.3686,0.0,0.0
1905-01-15,7385,0.0,0.0,0.0,4.3176000000000005,0.549,4.7436,1.0722,0.0
1905-01-20,7410,0.307,7.182500000000001,3.0531,1.6932,0.8869,9.296199999999999,2.8169,16.4787
1905-01-25,7435,0.0,0.0,0.0,0.0,0.0,2.4813,1.0722,2.4968
1905-01-30,7460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905-02-04,7485,0.0,0.0,0.0,1.1006,0.0,1.052,1.0722,0.0
1905-02-09,7510,0.0,0.0,0.0,0.0,2.0117,0.0,0.0,0.0
1905-02-14,7535,0.307,17.393,0.1111,0.0,9.7459,8.244800000000001,13.4472,2.9983
1905-02-19,7560,0.0,0.1769,0.0,1.6932,0.549,2.3304,0.5702,0.799
1905-02-24,7585,0.0,1.4641,0.7686,5.0677,1.2767,2.0942,2.3358999999999996,1.001
1905-03-01,7610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905-03-06,7635,0.0,3.9487,0.0,0.4233,1.0750000000000002,0.8315,10.112100000000002,2.2983000000000002
1905-03-11,7660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905-03-16,7685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
