,date_time_slot,power_mw
950,10/04/2023      21:30 - 21:45,6.92
951,10/04/2023      21:45 - 22:00,4.31
952,10/04/2023      22:00 - 22:15,2.45
953,10/04/2023      22:15 - 22:30,1.11
954,10/04/2023      22:30 - 22:45,1.1
955,10/04/2023      22:45 - 23:00,1.59
956,10/04/2023      23:00 - 23:15,2.27
957,10/04/2023      23:15 - 23:30,2.9
958,10/04/2023      23:30 - 23:45,2.88
959,10/04/2023      23:45 - 24:00,3.2
960,11/04/2023      00:00 - 00:15,3.79
961,11/04/2023      00:15 - 00:30,1.05
962,11/04/2023      00:30 - 00:45,3.86
963,11/04/2023      00:45 - 01:00,7.06
964,11/04/2023      01:00 - 01:15,9.59
965,11/04/2023      01:15 - 01:30,9.23
966,11/04/2023      01:30 - 01:45,6.05
967,11/04/2023      01:45 - 02:00,4.82
968,11/04/2023      02:00 - 02:15,2.96
969,11/04/2023      02:15 - 02:30,5.69
970,11/04/2023      02:30 - 02:45,6.9
971,11/04/2023      02:45 - 03:00,8.82
972,11/04/2023      03:00 - 03:15,11.36
973,11/04/2023      03:15 - 03:30,12.86
974,11/04/2023      03:30 - 03:45,13.18
975,11/04/2023      03:45 - 04:00,14.52
976,11/04/2023      04:00 - 04:15,18.23
977,11/04/2023      04:15 - 04:30,16.72
978,11/04/2023      04:30 - 04:45,13.44
979,11/04/2023      04:45 - 05:00,12.79
980,11/04/2023      05:00 - 05:15,14.95
981,11/04/2023      05:15 - 05:30,20.02
982,11/04/2023      05:30 - 05:45,16.63
983,11/04/2023      05:45 - 06:00,20.59
984,11/04/2023      06:00 - 06:15,21.48
985,11/04/2023      06:15 - 06:30,21.42
986,11/04/2023      06:30 - 06:45,18.42
987,11/04/2023      06:45 - 07:00,14.26
988,11/04/2023      07:00 - 07:15,10.65
989,11/04/2023      07:15 - 07:30,7.12
990,11/04/2023      07:30 - 07:45,4.1
991,11/04/2023      07:45 - 08:00,4.41
992,11/04/2023      08:00 - 08:15,6.76
993,11/04/2023      08:15 - 08:30,9.29
994,11/04/2023      08:30 - 08:45,10.63
995,11/04/2023      08:45 - 09:00,12.73
996,11/04/2023      09:00 - 09:15,12.17
