date,HULL,OT
2022-03-06 22:15:00.00,1.0000,0.0
2022-03-06 22:30:00.00,0.9819,0.0
2022-03-06 22:45:00.00,0.9815,0.0
2022-03-06 23:00:00.00,0.9744,0.0
2022-03-06 23:15:00.00,0.9849,0.0
2022-03-06 23:30:00.00,1.0000,0.0
2022-03-06 23:45:00.00,0.9933,0.0
2022-03-07 00:00:00.00,0.8164,23.5
2022-03-07 00:15:00.00,0.7846,0.0
2022-03-07 00:30:00.00,0.8881,0.0
2022-03-07 00:45:00.00,0.8779,0.0
2022-03-07 01:00:00.00,0.8302,0.0
2022-03-07 01:15:00.00,0.9287,0.0
2022-03-07 01:30:00.00,0.9497,0.0
2022-03-07 01:45:00.00,0.8505,0.0
2022-03-07 02:00:00.00,0.7686,0.0
2022-03-07 02:15:00.00,0.7709,0.0
2022-03-07 02:30:00.00,0.8151,0.0
2022-03-07 02:45:00.00,0.8217,0.0
2022-03-07 03:00:00.00,0.7333,0.0
2022-03-07 03:15:00.00,0.7298,0.0
2022-03-07 03:30:00.00,0.7585,0.0
2022-03-07 03:45:00.00,0.8752,0.0
2022-03-07 04:00:00.00,0.8365,0.0
2022-03-07 04:15:00.00,0.6968,0.0
2022-03-07 04:30:00.00,0.7459,0.0
2022-03-07 04:45:00.00,0.9067,0.0
2022-03-07 05:00:00.00,0.8868,0.0
2022-03-07 05:15:00.00,0.7092,0.0
2022-03-07 05:30:00.00,0.7296,0.0
2022-03-07 05:45:00.00,0.7613,0.0
2022-03-07 06:00:00.00,0.8679,0.0
2022-03-07 06:15:00.00,0.7503,0.0
2022-03-07 06:30:00.00,0.8340,0.0
2022-03-07 06:45:00.00,0.7572,0.0
2022-03-07 07:00:00.00,0.7069,0.0
2022-03-07 07:15:00.00,0.7517,0.0
2022-03-07 07:30:00.00,0.9270,0.0
2022-03-07 07:45:00.00,0.6639,0.0
2022-03-07 08:00:00.00,0.7057,0.0
2022-03-07 08:15:00.00,0.8080,0.0
2022-03-07 08:30:00.00,0.9673,0.0
2022-03-07 08:45:00.00,0.9150,0.0
2022-03-07 09:00:00.00,0.8679,0.0
2022-03-07 09:15:00.00,0.6145,0.0
2022-03-07 09:30:00.00,0.8667,0.0
2022-03-07 09:45:00.00,0.9959,0.0
2022-03-07 10:00:00.00,0.9157,0.0
2022-03-07 10:15:00.00,0.9767,0.0
2022-03-07 10:30:00.00,0.7484,0.0
2022-03-07 10:45:00.00,0.7092,0.0
2022-03-07 11:00:00.00,0.6956,0.0
2022-03-07 11:15:00.00,0.8573,0.0
2022-03-07 11:30:00.00,0.7094,0.0
2022-03-07 11:45:00.00,0.8642,0.0
2022-03-07 12:00:00.00,0.7522,0.0
2022-03-07 12:15:00.00,0.7270,0.0
2022-03-07 12:30:00.00,0.8050,0.0
2022-03-07 12:45:00.00,1.0000,0.0
2022-03-07 13:00:00.00,0.9887,0.0
2022-03-07 13:15:00.00,0.9314,0.0
2022-03-07 13:30:00.00,0.8579,0.0
2022-03-07 13:45:00.00,0.9410,0.0
2022-03-07 14:00:00.00,1.0000,0.0
2022-03-07 14:15:00.00,0.7407,0.0
2022-03-07 14:30:00.00,0.8390,0.0
2022-03-07 14:45:00.00,0.7641,0.0
2022-03-07 15:00:00.00,0.7522,0.0
2022-03-07 15:15:00.00,0.7366,0.0
2022-03-07 15:30:00.00,0.7585,0.0
2022-03-07 15:45:00.00,0.7229,0.0
2022-03-07 16:00:00.00,0.7535,0.0
2022-03-07 16:15:00.00,0.7449,0.0
2022-03-07 16:30:00.00,0.7597,0.0
2022-03-07 16:45:00.00,0.7421,0.0
2022-03-07 17:00:00.00,0.7673,0.0
2022-03-07 17:15:00.00,0.7517,0.0
2022-03-07 17:45:00.00,0.7558,0.0
2022-03-07 20:00:00.00,0.7824,0.0
2022-03-07 20:15:00.00,0.7819,0.0
2022-03-07 20:30:00.00,0.7836,0.0
2022-03-07 20:45:00.00,0.7819,0.0
2022-03-07 21:00:00.00,0.7874,0.0
2022-03-07 21:15:00.00,0.7750,0.0
2022-03-07 21:30:00.00,0.7874,0.0
2022-03-07 21:45:00.00,0.7750,0.0
2022-03-07 22:00:00.00,0.7849,0.0
2022-03-07 22:15:00.00,0.7750,0.0
2022-03-07 22:30:00.00,0.7862,0.0
2022-03-07 22:45:00.00,0.7750,0.0
2022-03-07 23:00:00.00,0.7836,0.0
2022-03-07 23:30:00.00,0.7786,0.0
2022-03-07 23:45:00.00,0.7641,0.0
