date,Unnamed: 0,ajmer,barmer,jodhpur,bikaner,jalor,nagaur,hanumangarh
1970-01-01 00:00:00.019010603,152,13,0,0,48,0,41,0
1970-01-01 00:00:00.019010604,153,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010605,154,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010606,155,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010607,156,0,0,0,0,0,0,36
1970-01-01 00:00:00.019010608,157,0,0,64,0,0,0,0
1970-01-01 00:00:00.019010609,158,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010610,159,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010611,160,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010612,161,0,0,0,0,0,0,89
1970-01-01 00:00:00.019010613,162,0,99,0,0,0,0,25
1970-01-01 00:00:00.019010614,163,0,23,0,0,0,0,0
1970-01-01 00:00:00.019010615,164,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010616,165,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010617,166,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010618,167,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010619,168,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010620,169,0,0,0,0,0,0,30
1970-01-01 00:00:00.019010621,170,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010622,171,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010623,172,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010624,173,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010625,174,0,0,0,0,0,0,178
1970-01-01 00:00:00.019010626,175,30,0,13,0,0,0,0
1970-01-01 00:00:00.019010627,176,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010628,177,56,0,0,0,0,0,0
1970-01-01 00:00:00.019010629,178,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010630,179,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010701,180,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010702,181,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010703,182,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010704,183,0,5,0,0,0,0,0
1970-01-01 00:00:00.019010705,184,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010706,185,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010707,186,0,0,0,0,0,58,0
1970-01-01 00:00:00.019010708,187,25,0,229,211,0,89,36
1970-01-01 00:00:00.019010709,188,64,0,483,119,0,0,0
1970-01-01 00:00:00.019010710,189,0,0,0,28,0,147,46
1970-01-01 00:00:00.019010711,190,0,0,0,53,0,0,114
1970-01-01 00:00:00.019010712,191,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010713,192,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010714,193,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010715,194,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010716,195,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010717,196,0,48,0,0,0,0,0
1970-01-01 00:00:00.019010718,197,0,5,0,0,0,0,0
1970-01-01 00:00:00.019010719,198,521,0,0,0,0,0,0
1970-01-01 00:00:00.019010720,199,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010721,200,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010722,201,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010723,202,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010724,203,114,0,43,89,0,0,0
1970-01-01 00:00:00.019010725,204,0,8,0,0,0,0,0
1970-01-01 00:00:00.019010726,205,25,38,5,0,0,0,0
1970-01-01 00:00:00.019010727,206,0,91,142,20,0,0,33
1970-01-01 00:00:00.019010728,207,246,0,0,0,0,0,0
1970-01-01 00:00:00.019010729,208,147,0,0,0,71,798,0
1970-01-01 00:00:00.019010730,209,203,0,94,8,76,0,229
1970-01-01 00:00:00.019010731,210,5,0,333,127,0,0,0
1970-01-01 00:00:00.019010801,211,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010802,212,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010803,213,0,0,0,0,25,0,0
1970-01-01 00:00:00.019010804,214,0,0,0,0,0,320,0
1970-01-01 00:00:00.019010805,215,0,0,0,8,0,0,0
1970-01-01 00:00:00.019010806,216,267,0,135,0,0,0,0
1970-01-01 00:00:00.019010807,217,259,5,0,0,0,0,0
1970-01-01 00:00:00.019010808,218,13,10,0,0,0,0,0
1970-01-01 00:00:00.019010809,219,0,23,0,0,0,0,0
1970-01-01 00:00:00.019010810,220,0,513,0,0,0,0,0
1970-01-01 00:00:00.019010811,221,13,0,0,0,0,0,58
1970-01-01 00:00:00.019010812,222,0,307,0,0,0,0,0
1970-01-01 00:00:00.019010813,223,0,0,0,0,0,94,0
1970-01-01 00:00:00.019010814,224,0,0,0,0,0,312,0
1970-01-01 00:00:00.019010815,225,38,310,41,615,0,0,0
1970-01-01 00:00:00.019010816,226,345,488,259,0,18,0,0
1970-01-01 00:00:00.019010817,227,51,1024,0,58,0,0,0
1970-01-01 00:00:00.019010818,228,13,86,0,13,43,0,0
1970-01-01 00:00:00.019010819,229,13,8,165,0,0,0,0
1970-01-01 00:00:00.019010820,230,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010821,231,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010822,232,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010823,233,0,30,0,0,0,0,0
1970-01-01 00:00:00.019010824,234,0,300,0,0,0,0,0
1970-01-01 00:00:00.019010825,235,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010826,236,0,424,0,0,0,0,51
1970-01-01 00:00:00.019010827,237,0,442,0,0,0,0,0
1970-01-01 00:00:00.019010828,238,0,1346,0,0,0,41,0
1970-01-01 00:00:00.019010829,239,0,290,0,0,0,0,0
1970-01-01 00:00:00.019010830,240,51,122,0,0,0,0,0
1970-01-01 00:00:00.019010831,241,0,23,0,0,0,0,112
1970-01-01 00:00:00.019010901,242,0,5,0,0,0,0,0
1970-01-01 00:00:00.019010902,243,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010903,244,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010904,245,0,0,0,0,0,0,411
1970-01-01 00:00:00.019010905,246,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010906,247,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010907,248,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010908,249,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010909,250,0,0,0,0,0,0,775
1970-01-01 00:00:00.019010910,251,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010911,252,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010912,253,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010913,254,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010914,255,64,0,0,0,10,0,274
1970-01-01 00:00:00.019010915,256,0,0,0,0,0,0,89
1970-01-01 00:00:00.019010916,257,0,13,0,0,0,0,0
1970-01-01 00:00:00.019010917,258,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010918,259,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010919,260,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010920,261,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010921,262,0,0,0,0,0,0,0
